id,nazev,absolutni_magnituda,prumer_max_metry,rychlost_km_h,vzdalenost_minuti_km,je_sentry_objekt,je_nebezpecny
3802440,(2018 GA2),23.44,121.9101817605,65338.1562147271,46520045.86924887,False,False
3840893,(2019 GC6),26.5,29.7879062798,48659.8379938891,41537106.454310534,False,False
54134665,(2021 GN1),26.42,30.905799213,49565.0782841684,13954266.801728162,False,False
54143556,(2021 JR1),23.36,126.4852777541,49605.9394497984,48043894.173716686,False,False
54265894,(2022 FF3),27.77,16.5973968696,50045.8466803619,41451450.797970385,False,False
54496016,(2024 UT4),27.6,17.948988478,22140.5019894658,23678853.003810442,False,False
54606506,(2026 FL1),25.381,49.8700701102,29745.0367456436,8571952.026924348,False,False
54606828,(2026 FM4),25.728,42.504995915,35808.2857277005,8628520.382054455,False,False
54606830,(2026 FP4),25.739,42.2902233456,29918.3973949097,8797983.622487921,False,False
54606910,(2026 FV5),27.301,20.5987078831,20044.7285688798,4493955.185259237,False,False
54607051,(2026 FC7),25.857,40.0534545035,39592.2897702209,7292866.99091535,False,False
54607055,(2026 FH7),26.804,25.8964348318,29773.2943433633,719202.755468445,False,False
54607235,(2026 FE9),25.586,45.3774387004,53292.1792906836,10161944.820175646,False,False
54607424,(2026 FR12),22.898,156.4732052086,57756.1234175978,16701404.265596188,False,False
54607511,(2026 GP),26.99,23.7705909561,41294.0676318606,2556855.58545388,True,False
3584577,(2011 UY255),22.96,152.0687509465,76734.1539879462,71729271.305195485,False,False
3761647,(2016 UY35),24.7,68.2401509401,42197.5038263832,33494735.779036535,False,False
54254966,(2022 EC5),26.34,32.0656448971,66503.7869440496,55074139.306366867,False,False
54354356,(2023 GR1),25.35,50.5871227598,51313.0985619458,27531480.938556506,False,False
54465529,(2024 PP1),27.87,15.8503909578,47989.221340631,16036786.79589313,False,False
54489167,(2024 TT5),24.64,70.151987353,57194.7121740085,23465193.570969905,False,False
54604370,(2026 DS11),23.7,108.1533506775,25813.6989668293,14275184.331969606,False,False
54606249,(2026 EY1),21.41,310.4845390059,29158.1125112169,21734160.459394726,False,False
54606508,(2026 FN1),26.502,29.760483235,35627.7584606014,3244132.016214784,False,False
54606534,(2026 FF2),23.903,98.5008501303,80004.3409860307,12296873.361338779,True,False
54606733,(2026 FA4),26.103,35.7634970585,41926.949268422,6255070.049885283,False,False
54607503,(2026 FS13),25.984,37.778088423,73561.2223571262,11446388.601485914,False,False
54607507,(2026 GM),23.455,121.0709579723,70366.4144254883,4707778.607284868,False,False
3608730,(2012 SA3),22.18,217.7910249632,52584.3523180206,22550593.25840522,False,False
3634127,(2013 GF),21.39,313.3574170739,44400.800830055,26001304.285152802,False,False
3729536,(2015 TX143),19.74,669.9462781683,49625.7113566109,17082741.488291741,False,False
3752788,(2016 JF6),24.1,89.9580388169,31718.9025209525,44706914.628440864,False,False
3773835,(2017 GR5),24.8,65.1688382168,7018.7669294672,26080755.130478109,False,False
3802067,(2018 FB4),27.5,18.7948982439,84921.6324786476,53340623.348862872,False,False
54111269,(2021 CM4),27.6,17.948988478,41717.9480183579,46808073.470022742,False,False
54132108,(2021 FY),21.82,257.0632410238,82654.3931699614,58858427.478386134,False,False
54300839,(2022 RW),23.42,123.038202784,55614.9139521793,51320446.232489372,False,False
2674942,674942 (2015 TX143),19.72,676.1452147577,49625.7155058686,17082738.286897323,False,False
54606455,(2026 FJ),27.442,19.3036741852,7989.8921264676,2965678.993276439,False,False
54606674,(2026 FV3),25.944,38.4804355248,40134.6066260696,4195263.649920285,False,False
54606833,(2026 FS4),25.038,58.4036485349,24471.6781778344,28264211.500293737,False,False
54606909,(2026 FU5),23.099,142.6395561483,74576.3069965363,27040283.333591822,False,False
54607048,(2026 FZ6),26.941,24.3130799822,25859.3441778339,3991478.544167394,False,False
54607478,(2026 GB),22.509,187.171611174,46365.1914934757,10337279.298293428,False,False
54607508,(2026 GN),29.034,9.2734210469,13817.4985403608,1906900.502185262,False,False
54607548,(2026 GN1),26.104,35.7470311512,28331.8531575837,6084173.916173596,False,False
3639439,(2013 LB),22.8,163.696720474,22411.1262190863,23528644.041471279,False,False
3671119,(2014 JS54),21.21,340.4395272595,73601.056970352,65809377.093179429,False,True
3789741,(2017 WY27),27.9,15.6329154409,23044.1202323369,44258070.469320591,True,False
3844004,(2019 SP2),24.02,93.3340215038,38178.9659374646,12933515.730156097,False,False
54136202,(2021 GN6),26.96,24.1012728161,25445.2193941253,2167177.608315412,False,False
54217199,(2021 VY4),26.43,30.7637999642,71903.0833337452,71548953.871625873,True,False
54269642,(2022 GR2),23.53,116.9607053693,122832.3268705396,37984978.15459939,False,False
54352569,(2023 FT5),23.79,103.7623929406,72599.350812782,71350628.744052881,False,False
54354860,(2023 HH2),24.88,62.8116177092,51924.4978382215,43866022.592645157,False,False
